(IXT)iXledger(IXT),"0.865282
USD"
(BURST)Burst(BURST),"0.027808
USD"
(PURA)Pura(PURA),"0.237662
USD"
(KRM)Karma(KRM),"0.033255
USD"
(WAX)WAX(WAX),"0.343556
USD"
(LUN)Lunyr(LUN),"19.45
USD"
(OTN)OpenTradingNetwork(OTN),"6.18
USD"
(ENJ)EnjinCoin(ENJ),"0.152052
USD"
(DBC)DeepBrainChain(DBC),"0.096451
USD"
(NAV)NAVCoin(NAV),"1.63
USD"
(XZC)ZCoin(XZC),"49.56
USD"
(QUN)QunQun(QUN),"0.067458
USD"
(CMT)CyberMiles(CMT),"0.178146
USD"
(R)Revain(R),"1.80
USD"
(PND)Pandacoin(PND),"0.000490
USD"
(XMY)Myriad(XMY),"0.011389
USD"
(VIA)Viacoin(VIA),"2.80
USD"
(DNA)EncrypGen(DNA),"0.420150
USD"
(ANT)Aragon(ANT),"4.82
USD"
(WINGS)Wings(WINGS),"0.622073
USD"
(BSD)BitSend(BSD),"0.828292
USD"
(TRST)WeTrust(TRST),"0.330379
USD"
(HSR)Hshare(HSR),"10.46
USD"
(MKR)Maker(MKR),"975.26
USD"
(CV)carVertical(CV),"0.006459
USD"
(GOLOS)Golos(GOLOS),"0.133335
USD"
(PRE)Presearch(PRE),"0.264579
USD"
(DENT)Dent(DENT),"0.026462
USD"
(CDT)CoinDash(CDT),"0.076775
USD"
(STX)Stox(STX),"0.473534
USD"
(TNB)TimeNewBank(TNB),"0.069867
USD"
(GTC)Game.com(GTC),"0.073765
USD"
(VIBE)VIBE(VIBE),"0.507285
USD"
(GTO)Gifto(GTO),"0.282405
USD"
(IOC)I/OCoin(IOC),"2.24
USD"
(LA)LAToken(LA),"0.367162
USD"
(SNGLS)SingularDTV(SNGLS),"0.144284
USD"
(BIX)BiboxToken(BIX),"0.746777
USD"
(AUR)Auroracoin(AUR),"1.72
USD"
(POE)Po.et(POE),"0.057087
USD"
(ELF)aelf(ELF),"1.33
USD"
(LEO)LEOcoin(LEO),"0.267925
USD"
(ICN)Iconomi(ICN),"1.61
USD"
(XPA)XPlay(XPA),"0.199355
USD"
(MYB)MyBitToken(MYB),"8.40
USD"
(CLAM)Clams(CLAM),"5.56
USD"
(HST)DecisionToken(HST),"1.78
USD"
